[2025-07-23T09:00:31.256+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GSP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.280+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.299+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.325+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GVR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.331+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.340+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.461+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.500+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HCD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.519+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.596+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.640+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.704+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HDB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.766+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.770+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HDG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.790+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HHS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.791+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HHV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.845+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HHP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.959+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HII: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.019+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.110+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.117+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HQC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.170+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HNA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.198+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HPG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.207+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.220+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HPX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.383+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HSG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:32.392+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HT1: Expecting value: line 1 column 1 (char 0)
