[2025-07-23T08:43:49.281+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.293+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.345+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.379+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.521+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DVP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.551+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.583+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.637+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.651+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý E1VFVN30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.755+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EIB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.827+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ELC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.855+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.930+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.944+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.006+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.099+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.139+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.199+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.199+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.265+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.341+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FPT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.386+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FRT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.466+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.472+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF3: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.532+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.622+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCVREIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.649+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF5: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.717+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEABVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.728+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEBFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.758+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEDCMID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.868+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEFCV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.897+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEIP100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.019+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.024+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIVFS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.050+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.141+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.144+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.284+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.310+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.322+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSVFL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.389+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUETCC50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.394+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.565+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVN100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.617+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.641+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GDT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.666+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.679+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.793+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.848+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GIL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.914+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GMD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.933+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GMH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.947+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GSP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.042+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.132+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GVR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.188+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.212+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.216+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.271+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.380+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý HAS: Expecting value: line 1 column 1 (char 0)
