[2025-07-23T08:35:53.884+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.915+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSVFL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.919+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.976+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.001+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUETCC50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.034+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVN100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.080+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GDT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.173+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.199+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.252+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.298+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.333+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GIL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.375+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GSP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:54.413+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GTA: Expecting value: line 1 column 1 (char 0)
