[2025-07-24T10:59:41.030+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF5: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.122+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF4: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.239+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUCVREIT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.256+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEABVND: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.327+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEIP100: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.397+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEFCV50: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.410+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIV30: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.469+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEDCMID: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.590+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEMAVND: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.639+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIVFS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.709+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIVND: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.719+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEMAV30: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.832+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUESSV30: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.836+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUESSVFL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.845+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUETCC50: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.932+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GAS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.933+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUESSV50: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.941+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GDT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.008+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEVFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.038+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEVN100: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.138+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GEG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.148+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GMH: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.152+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GEE: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.241+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GIL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.252+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GMD: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.289+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GSP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.346+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GTA: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.365+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GEX: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.372+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.382+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.394+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý GVR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.567+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAH: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.640+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAX: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.695+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.707+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HCM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.772+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HCD: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.849+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HDB: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.859+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HAS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:42.962+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HDC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.059+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HDG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.154+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HHP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.225+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HMC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.303+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HHS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.357+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HID: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.422+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HHV: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.433+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HII: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.568+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HNA: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.637+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HT1: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.642+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HSL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.658+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HPG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.725+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HQC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.729+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HPX: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:43.784+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý HRC: Expecting value: line 1 column 1 (char 0)
