[2025-07-24T11:05:53.327+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ICT
[2025-07-24T11:05:53.347+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTN
[2025-07-24T11:05:53.398+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IJC
[2025-07-24T11:05:53.414+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVN
[2025-07-24T11:05:53.426+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KDH
[2025-07-24T11:05:53.430+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVX
[2025-07-24T11:05:53.648+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KHG
[2025-07-24T11:05:53.697+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IDI
[2025-07-24T11:05:53.758+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KOS
[2025-07-24T11:05:53.796+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ILB
[2025-07-24T11:05:53.855+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KSB
[2025-07-24T11:05:53.865+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LAF
[2025-07-24T11:05:53.867+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ITC
[2025-07-24T11:05:53.903+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KMR
[2025-07-24T11:05:53.943+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho JVC
[2025-07-24T11:05:53.954+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KBC
[2025-07-24T11:05:54.084+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho LEC
[2025-07-24T11:05:54.133+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KDC
