[2025-07-24T11:09:53.267+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HCD
[2025-07-24T11:09:53.276+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDC
[2025-07-24T11:09:53.498+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHS
[2025-07-24T11:09:53.518+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHV
[2025-07-24T11:09:53.539+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HID
[2025-07-24T11:09:53.543+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHP
[2025-07-24T11:09:53.770+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HII
[2025-07-24T11:09:53.924+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HMC
[2025-07-24T11:09:54.002+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HPX
[2025-07-24T11:09:54.014+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HSG
[2025-07-24T11:09:54.049+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HPG
[2025-07-24T11:09:54.055+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HNA
[2025-07-24T11:09:54.066+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HQC
[2025-07-24T11:09:54.146+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HRC
[2025-07-24T11:09:54.189+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HSL
[2025-07-24T11:09:54.220+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HT1
[2025-07-24T11:09:54.278+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTN
[2025-07-24T11:09:54.318+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTG
[2025-07-24T11:09:54.361+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTI
[2025-07-24T11:09:54.408+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTL
[2025-07-24T11:09:54.538+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTV
[2025-07-24T11:09:54.661+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HU1
[2025-07-24T11:09:54.691+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HUB
[2025-07-24T11:09:54.853+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVX
[2025-07-24T11:09:54.858+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVN
[2025-07-24T11:09:54.914+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IDI
[2025-07-24T11:09:54.936+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVH
[2025-07-24T11:09:54.971+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ICT
[2025-07-24T11:09:54.994+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ILB
[2025-07-24T11:09:55.097+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IJC
[2025-07-24T11:09:55.209+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KBC
[2025-07-24T11:09:55.214+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IMP
[2025-07-24T11:09:55.233+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ITC
[2025-07-24T11:09:55.263+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ITD
[2025-07-24T11:09:55.487+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KHG
[2025-07-24T11:09:55.545+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho JVC
[2025-07-24T11:09:55.574+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KDC
[2025-07-24T11:09:55.713+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KOS
[2025-07-24T11:09:55.720+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho KDH
